Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,4606601.35,261731.44,798279.30,2728,0,2772,0,5711,0,485,0,36,0.7702927907867049,4896
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,11715849.97,240769.04,86280.00,3020,0,1207,0,6127,0,1127,0,44,0.9497653393227312,8700
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,1606327.43,60235.64,7810.00,1065,0,918,0,1538,0,94,0,9,0.8296284081856548,804
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,9096482.55,5046955.36,4962762.00,4365,0,2044,0,9432,0,1392,0,32,0.9626301640407651,14604
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,4826387.33,1417056.26,2139099.00,1161,0,516,0,2873,0,385,0,42,0.4538372434051825,7248
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,3305127.67,666617.14,1163439.00,1242,0,671,0,2348,0,326,0,10,0.9215556029866556,2340
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,1862402.12,1149554.44,336965.72,900,0,450,0,2265,0,288,0,24,0.9034443532419698,3156
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,2434241.73,956483.24,454471.51,1332,0,838,0,2598,0,269,0,26,0.903385830923574,3084
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,1021634.22,312885.41,406551.47,396,0,170,0,973,0,162,0,23,0.8566546624024508,1524
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,9528051.70,0.00,0,3401,0,876,0,8103,0,1538,46,0.9803357237540778,15108
